Nom;Nombre de dauts Roule;Poids des dauts Roule;Plus gros daut Roule;Poids des Dauts Tes;Classe
B186;38;795;145;9;3
B193;38;663;102;116;3
B637;38;506;54;66;3
B641;39;665;49;27;3
B105;40;791;110;62;3
B126;40;652;73;82;3
B164;40;737;70;26;3
B650;40;612;120;259;3
B651;40;682;70;25;3
B111;41;784;72;35;3
B115;41;792;74;100;3
B131;41;801;85;110;3
B157;41;826;73;105;3
B159;41;782;94;173;3
B189;41;518;30;58;3
B656;41;694;45;53;3
B657;41;814;116;107;3
B138;42;655;51;91;3
B143;42;636;47;35;3
B168;42;710;65;67;3
B176;42;729;88;99;3
B178;42;804;63;110;3
B660;42;704;77;108;3
B661;42;796;59;81;3
B662;42;629;48;80;3
B663;42;703;97;32;3
B664;42;779;70;58;3
B665;42;768;86;28;3
B125;43;754;68;85;3
B127;43;688;97;43;3
B145;43;652;61;20;3
B154;43;743;80;109;3
B191;43;931;78;147;3
B124;44;795;84;43;3
B197;44;628;98;13;3
B673;44;732;98;130;3
B674;44;989;113;178;3
B675;44;761;75;18;3
B676;44;651;78;105;3
B148;45;929;67;28;3
B180;45;962;88;224;3
B195;45;655;49;84;3
B196;45;747;49;94;3
B681;45;744;46;77;3
B114;46;678;55;14;3
B137;46;776;103;104;3
B174;46;796;49;121;3
B687;46;685;38;6;3
B104;47;741;108;6;3
B119;47;778;76;58;3
B153;47;822;80;21;3
B692;47;682;44;22;3
B116;48;869;100;11;3
B181;48;807;59;101;3
B182;48;841;96;86;3
B192;48;930;57;57;3
B199;48;836;94;142;3
B698;48;735;69;22;3
B699;48;822;73;0;3
B700;48;825;78;141;3
B109;49;743;54;99;3
B123;49;873;95;142;3
B703;49;845;73;114;3
B704;49;986;93;123;3
B705;49;706;74;34;3
B706;49;798;52;35;3
B707;49;787;79;102;3
B708;49;902;68;141;3
B709;49;886;92;49;3
B710;49;652;49;85;3
B122;50;787;64;58;3
B128;50;804;77;0;3
B132;50;801;61;121;3
B133;50;956;156;0;3
B175;50;685;48;68;3
B716;50;801;63;90;3
B118;51;821;65;65;3
B120;51;663;41;61;3
B135;51;807;76;57;3
B156;51;895;61;110;3
B166;51;1132;85;96;3
B177;51;781;61;28;3
B179;51;959;81;75;3
B198;51;806;69;66;3
B717;51;656;68;112;3
B718;51;840;53;48;3
B719;51;946;88;92;3
B720;51;1079;72;140;3
B112;52;913;81;90;3
B141;52;871;65;110;3
B163;52;891;72;27;3
B722;52;677;45;109;3
B723;52;931;66;46;3
B724;52;895;98;34;3
B725;52;760;67;20;3
B107;53;913;65;94;3
B730;53;966;73;87;3
B731;53;848;83;139;3
B732;53;922;107;152;3
B110;54;915;75;0;3
B161;54;939;99;46;3
B169;54;831;76;94;3
B188;54;931;51;28;3
B736;54;915;77;118;3
B155;55;985;94;213;3
B187;55;763;76;36;3
B743;55;862;55;69;3
B744;55;848;71;101;3
B745;55;915;108;177;3
B746;55;1014;87;29;3
B747;55;854;75;18;3
B748;55;907;68;93;3
B749;55;862;43;39;3
B162;56;967;70;25;3
B170;56;831;117;172;3
B752;56;1108;68;152;3
B753;56;993;71;32;3
B129;57;899;42;69;3
B144;57;943;78;25;3
B150;57;951;51;7;3
B756;57;905;92;171;3
B121;58;1156;138;86;3
B183;58;770;43;44;3
B760;58;926;54;50;3
B761;58;783;39;109;3
B763;59;942;89;44;3
B101;60;967;110;184;3
B764;60;853;50;50;3
B765;60;932;77;137;3
B766;60;874;49;64;3
B767;60;849;56;34;3
B108;61;1100;59;12;3
B113;61;1061;69;32;3
B165;61;1022;49;50;3
B768;61;824;64;49;3
B769;61;1079;97;149;3
B770;61;1062;72;61;3
B158;62;961;64;118;3
B171;62;998;47;66;3
B773;62;1051;65;111;3
B776;63;895;60;10;3
B777;63;1154;112;39;3
B149;65;1087;110;124;3
B782;65;823;35;32;3
B783;65;1066;62;92;3
B785;66;934;58;76;3
B786;66;889;40;56;3
B136;67;1101;95;187;3
B151;67;957;65;77;3
B117;68;1032;48;97;3
B173;68;1092;62;27;3
B194;68;1037;81;197;3
B787;68;881;59;97;3
B147;69;1138;71;87;3
B789;70;936;50;60;3
B790;71;1078;56;158;3
B791;72;1067;78;70;3
B794;74;1131;111;37;3
B134;75;1143;72;108;3
B796;77;1169;69;71;3
B797;77;1115;65;12;3
B798;77;1214;131;130;3
B073;0;0;0;0;4
B451;16;377;162;200;4
B510;23;719;200;312;4
B516;24;397;115;21;4
B524;25;533;161;26;4
B525;25;633;119;8;4
B007;26;567;179;186;4
B536;26;683;161;416;4
B003;27;464;72;12;4
B055;27;554;66;95;4
B099;27;549;83;10;4
B052;28;505;184;23;4
B547;28;510;96;59;4
B092;29;605;142;266;4
B093;29;605;142;266;4
B094;29;770;182;105;4
B033;30;633;118;160;4
B080;30;651;182;207;4
B084;30;462;116;130;4
B564;30;598;61;78;4
B565;30;615;184;190;4
B027;31;895;159;315;4
B036;31;707;201;167;4
B575;31;679;209;220;4
B576;31;659;172;28;4
B589;33;789;205;213;4
B590;33;743;63;158;4
B010;34;774;154;16;4
B596;34;944;181;239;4
B597;34;688;187;55;4
B598;34;716;118;81;4
B082;35;786;179;25;4
B603;35;799;241;270;4
B604;35;935;132;19;4
B062;36;768;284;26;4
B612;36;746;168;158;4
B014;37;666;59;125;4
B020;37;830;201;0;4
B034;37;1097;230;89;4
B620;37;616;161;11;4
B621;37;887;142;318;4
B622;37;741;192;95;4
B623;37;848;183;248;4
B624;37;716;111;95;4
B625;37;769;162;67;4
B626;37;919;210;105;4
B035;38;974;140;128;4
B635;38;810;111;140;4
B636;38;896;194;157;4
B638;39;918;208;8;4
B639;39;828;163;372;4
B640;39;833;161;300;4
B009;40;1233;129;196;4
B043;40;1065;242;320;4
B096;40;842;61;52;4
B647;40;1011;231;310;4
B648;40;814;113;25;4
B649;40;1083;253;133;4
B041;41;929;167;347;4
B047;41;902;123;270;4
B050;41;651;45;166;4
B051;41;828;197;120;4
B060;41;842;217;26;4
B089;41;849;169;206;4
B654;41;1246;186;45;4
B655;41;1044;153;318;4
B083;42;1106;218;32;4
B090;42;1207;180;419;4
B658;42;929;200;165;4
B659;42;1086;88;54;4
B023;43;1145;317;341;4
B038;43;1111;149;67;4
B053;43;937;145;194;4
B100;43;875;196;50;4
B667;43;867;149;133;4
B668;43;761;63;91;4
B669;43;738;127;125;4
B670;43;1124;175;377;4
B037;44;1046;135;206;4
B044;44;909;145;173;4
B074;44;1064;263;124;4
B672;44;958;144;205;4
B057;45;970;132;107;4
B081;45;821;116;70;4
B679;45;1108;179;32;4
B680;45;1057;189;294;4
B001;46;720;57;40;4
B029;46;1142;145;56;4
B032;46;1025;93;48;4
B042;46;929;170;122;4
B065;46;977;168;296;4
B069;46;1086;170;146;4
B071;46;1208;293;87;4
B682;46;870;194;51;4
B683;46;947;153;189;4
B684;46;1139;158;246;4
B685;46;978;116;202;4
B686;46;946;119;25;4
B688;47;1280;235;162;4
B689;47;1113;280;280;4
B690;47;893;118;174;4
B691;47;937;120;89;4
B019;48;1228;263;279;4
B030;48;891;119;22;4
B056;48;952;95;143;4
B063;48;962;119;32;4
B694;48;997;210;247;4
B695;48;983;154;15;4
B696;48;730;70;76;4
B697;48;1233;167;212;4
B008;49;1152;213;220;4
B013;49;982;164;34;4
B016;49;963;174;203;4
B701;49;918;80;115;4
B702;49;1021;210;222;4
B002;50;954;135;135;4
B004;50;939;69;88;4
B017;50;983;181;301;4
B024;50;1010;92;109;4
B058;50;1028;81;208;4
B068;50;759;73;105;4
B087;50;688;43;62;4
B713;50;829;97;24;4
B714;50;1158;232;143;4
B715;50;935;138;144;4
B067;51;928;190;201;4
B006;52;897;70;214;4
B049;52;1022;161;118;4
B088;52;1148;130;0;4
B721;52;1159;158;132;4
B064;53;974;148;39;4
B072;53;1131;106;257;4
B078;53;859;80;54;4
B726;53;1199;240;335;4
B727;53;879;126;55;4
B728;53;1019;104;267;4
B729;53;996;134;135;4
B015;54;1228;186;72;4
B098;54;1139;178;57;4
B733;54;990;239;272;4
B734;54;1229;125;0;4
B735;54;1155;173;149;4
B012;55;1081;134;38;4
B039;55;1358;104;258;4
B737;55;1050;141;241;4
B738;55;1143;161;221;4
B739;55;984;147;114;4
B740;55;900;150;26;4
B741;55;976;82;6;4
B742;55;1061;191;228;4
B026;56;1264;183;249;4
B059;56;1256;209;20;4
B077;56;1010;116;181;4
B750;56;1278;146;113;4
B751;56;998;204;272;4
B018;57;1167;126;131;4
B075;57;1329;120;91;4
B754;57;1818;253;131;4
B755;57;1138;168;218;4
B045;58;1146;157;138;4
B757;58;1067;187;187;4
B758;58;1000;64;173;4
B759;58;1302;102;264;4
B079;59;1143;206;23;4
B095;59;1225;99;121;4
B762;59;1305;113;216;4
B028;60;1264;87;173;4
B085;60;1146;164;174;4
B046;61;1287;80;274;4
B066;61;1468;181;244;4
B076;61;1055;72;152;4
B005;62;1424;123;177;4
B070;62;1325;113;71;4
B771;62;1390;134;236;4
B772;62;1157;88;237;4
B025;63;1168;80;131;4
B774;63;1254;206;15;4
B775;63;1254;206;15;4
B086;64;1096;61;147;4
B778;64;1742;188;77;4
B779;64;1120;91;63;4
B780;64;1238;95;190;4
B031;65;1112;98;211;4
B781;65;1282;285;357;4
B054;66;1256;126;87;4
B091;66;1063;160;226;4
B784;66;1342;143;304;4
B788;69;1333;328;81;4
B040;71;1309;83;81;4
B048;71;1290;108;47;4
B011;72;1380;159;41;4
B097;72;1349;90;214;4
B021;74;1408;306;360;4
B792;74;1288;98;190;4
B793;74;1750;176;282;4
B022;75;1625;125;190;4
B795;77;1314;163;288;4
B799;78;1506;157;169;4
B061;80;1544;118;147;4
B800;106;2096;149;167;4
